name,genre,rating,country,score,company,writer,director,hit rate
The Shining,0.036792826,1,0.104909213,0.147657359,0.000210234,0.000467175,0.000168342,2.473619579
The Blue Lagoon,0.029012264,1,0.251513114,0.037229847,0.00028626,0.001031807,0.000370819,13.078468
Star Wars: Episode V - The Empire Strikes Back,0.026374786,0.261430325,0.251513114,0.191986118,0.000695091,0.004626887,0.000860331,29.90972594
Airplane!,0.035737835,0.261430325,0.251513114,0.095756428,0.000314188,0.001140092,0.000594241,23.84386829
Caddyshack,0.035737835,1,0.251513114,0.056318031,0.000183858,0.000559991,0.000197822,6.641057333
Friday the 13th,1,1,0.251513114,0.045590787,0.000314188,0.003531656,0.002843203,72.28109273
The Blues Brothers,0.026374786,1,0.251513114,0.064836725,0.000322721,0.000683746,0.000193167,4.267773704
Raging Bull,0.023473559,1,0.251513114,0.097333964,0.000257556,0.000201102,0.000147397,1.300134833
Superman II,0.026374786,0.261430325,0.251513114,0.057106799,0.000137312,0.000256791,9.70E-05,2.003439
The Long Riders,0.023473559,1,0.251513114,0.056949046,0.000269193,0.000244416,0.000107832,1.5795189
Any Which Way You Can,0.026374786,0.261430325,0.251513114,0.036283325,0.000256005,0.000392922,0.000169894,4.7124896
The Gods Must Be Crazy,0.029012264,0.261430325,0.147612643,0.056318031,0.000466239,0.000929709,0.000466239,6.0063566
Popeye,0.029012264,0.261430325,0.251513114,0.031392964,0.000314188,0.000385187,9.77E-05,2.49115185
Ordinary People,0.036792826,1,0.251513114,0.095756428,0.000314188,0.001412353,0.000260659,9.1278205
Dressed to Kill,0.018594224,1,0.251513114,0.05978861,0.00021644,0.000238228,0.000132657,4.907538462
Somewhere in Time,0.036792826,0.261430325,0.251513114,0.062312668,0.000279278,0.000222759,7.21E-05,1.903842549
9 to 5,0.035737835,0.261430325,0.251513114,0.088026503,0.000426674,0.001597985,0.000477875,10.3300686
The Fog,1,1,0.251513114,0.057106799,0.000995315,0.001356663,0.000237386,21.448782
Cruising,0.018594224,1,0.039677202,0.31692696,0.000256005,0.000278449,9.08E-05,1.801320273
Heaven's Gate,0.029012264,1,0.251513114,0.057106799,6.21E-06,1.24E-05,3.10E-05,0.079193705
The Final Countdown,0.026374786,0.261430325,0.251513114,0.037703108,0.000107832,0.000215024,0.000107832,1.387316667
Xanadu,0.020967955,0.261430325,0.251513114,0.031392964,0.000322721,0.000176351,8.84E-05,1.13812855
Brubaker,0.018594224,1,0.251513114,0.062312668,0.000255229,0.000259885,0.000192391,4.124634222
American Gigolo,0.018594224,1,0.251513114,0.041804701,0.000314188,0.000261432,7.76E-05,4.738265417
Cattle Annie and Little Britches,0.036792826,0.261430325,0.251513114,0.036283325,7.76E-06,1.55E-05,4.81E-05,0.104865882
Private Benjamin,0.035737835,1,0.251513114,0.041804701,0.000210234,0.000521318,0.000273072,6.9847348
The Hollywood Knights,0.035737835,1,0.251513114,1,0.000515888,0.00017171,9.70E-05,2.5
Motel Hell,0.035737835,1,0.251513114,0.03691434,0.000163688,0.000326404,0.000163688,2.114222667
The Stunt Man,0.026374786,1,0.251513114,0.05978861,0.000166791,0.000312481,9.70E-05,2.018253143
The Island,0.026374786,1,0.251513114,0.031392964,0.000322721,0.000374359,0.000180755,0.714401273
The Nude Bomb,0.026374786,0.261430325,0.251513114,0.044328758,0.000322721,0.000182538,7.60E-05,0.977469
Stardust Memories,0.035737835,0.261430325,0.251513114,0.056318031,4.50E-05,0.000286183,0.000140415,1.0389003
Melvin and Howard,0.035737835,1,0.251513114,0.057106799,0.000322721,0.000106739,0.000262987,0.615641429
Bronco Billy,0.026374786,0.261430325,0.251513114,0.036283325,0.000210234,0.000443971,0.000264538,3.733178308
When Time Ran Out...,0.026374786,0.261430325,0.251513114,0.046221802,1.47E-05,2.94E-05,1.47E-05,0.1881994
Oh Heavenly Dog,0.035737835,0.261430325,0.251513114,0.030919703,8.07E-05,0.000160881,8.07E-05,1.036011167
The Octagon,0.026374786,1,0.251513114,0.044328758,0.000241265,0.000733248,0.000367716,4.74275
The Last Flight of Noah's Ark,0.029012264,0.339911001,0.251513114,0.037229847,9.08E-05,0.000283089,0.000141966,1.833333333
Willie & Phil,0.035737835,1,0.251513114,0.035967818,0.000255229,0.000123755,0.00011559,0.8
Phobia,0.036792826,1,0.161062542,0.023505285,7.76E-07,0.000105192,5.82E-05,0.011601373
Indiana Jones and the Raiders of the Lost Ark,0.026374786,0.261430325,0.251513114,0.147657359,0.000314188,0.001539202,0.000660182,21.66255394
An American Werewolf in London,0.035737835,1,0.104909213,0.062154914,0.000238162,0.000312481,0.000193167,3.0669378
Escape from New York,0.026374786,1,0.251513114,0.062312668,0.000995315,0.001356663,0.000237386,4.207437667
The Evil Dead,1,0.198913106,0.251513114,0.062154914,0.000351425,0.000544522,0.000218768,8.447514286
Porky's,0.035737835,1,0.161062542,0.041804701,0.001928568,0.003619831,0.000588035,44.5158692
Blow Out,0.018594224,1,0.251513114,0.073039912,0.00021644,0.000238228,0.000132657,0.666666667
Clash of the Titans,0.026374786,0.261430325,0.104909213,0.088026503,0.000212561,0.000423861,0.000212561,2.739488533
