name,genre,rating,country,score,company,writer,director,hit rate
The Shining,0.554385965,3.180545385,0.134798535,1.938173976,0.391716997,0.451263538,0.096085409,2.473619579
The Blue Lagoon,0.140350877,3.180545385,1.412454212,-0.074766355,0.729939603,1.768953069,1.024911032,13.078468
Star Wars: Episode V - The Empire Strikes Back,0,-0.089716293,1.412454212,2.746225737,2.548748921,10.15884477,3.270462633,29.90972594
Airplane!,0.498245614,-0.089716293,1.412454212,0.99209202,0.854184642,2.02166065,2.049822064,23.84386829
Caddyshack,0.498245614,3.180545385,1.412454212,0.273184759,0.274374461,0.667870036,0.231316726,6.641057333
Friday the 13th,51.81052632,3.180545385,1.412454212,0.077641984,0.854184642,7.602888087,12.36654804,72.28109273
The Blues Brothers,0,3.180545385,1.412454212,0.428468728,0.892148404,0.9566787,0.209964413,4.267773704
Raging Bull,-0.154385965,3.180545385,1.412454212,1.020848311,0.602243313,-0.16967509,0,1.300134833
Superman II,0,-0.089716293,1.412454212,0.287562904,0.067299396,-0.039711191,-0.231316726,2.003439
The Long Riders,-0.154385965,3.180545385,1.412454212,0.284687275,0.654012079,-0.068592058,-0.181494662,1.5795189
Any Which Way You Can,0,-0.089716293,1.412454212,-0.092020129,0.595340811,0.277978339,0.103202847,4.7124896
The Gods Must Be Crazy,0.140350877,-0.089716293,0.506959707,0.273184759,1.530629853,1.530685921,1.462633452,6.0063566
Popeye,0.140350877,-0.089716293,1.412454212,-0.18116463,0.854184642,0.259927798,-0.227758007,2.49115185
Ordinary People,0.554385965,3.180545385,1.412454212,0.99209202,0.854184642,2.657039711,0.519572954,9.1278205
Dressed to Kill,-0.414035088,3.180545385,1.412454212,0.336448598,0.419327006,-0.083032491,-0.067615658,4.907538462
Somewhere in Time,0.554385965,-0.089716293,1.412454212,0.382458663,0.698878343,-0.119133574,-0.34519573,1.903842549
9 to 5,0.498245614,-0.089716293,1.412454212,0.851186197,1.354616048,3.090252708,1.516014235,10.3300686
The Fog,51.81052632,3.180545385,1.412454212,0.287562904,3.884383089,2.527075812,0.412811388,21.448782
Cruising,-0.414035088,3.180545385,-0.433699634,5.02372394,0.595340811,0.010830325,-0.259786477,1.801320273
Heaven's Gate,0.140350877,3.180545385,1.412454212,0.287562904,-0.515962036,-0.610108303,-0.533807829,0.079193705
