,name,genre,rating,country,score,company,writer,director,hit rate,zscore,robust,minmax
0,The Shining,0.554385965,3.180545385,0.134798535,1.938173976,0.391716997,0.451263538,0.096085409,2.473619579,-0.023104737863629154,0.21649403915631726,0.0001918948629143826
1,The Blue Lagoon,0.140350877,3.180545385,1.412454212,-0.074766355,0.729939603,1.768953069,1.024911032,13.078468,0.034505221177597,3.819204069668548,0.0010145892249561618
2,Star Wars: Episode V - The Empire Strikes Back,0.0,-0.089716293,1.412454212,2.746225737,2.548748921,10.15884477,3.270462633,29.90972594,0.1259396332542081,9.537168098885541,0.002320310953697591
3,Airplane!,0.498245614,-0.089716293,1.412454212,0.99209202,0.854184642,2.02166065,2.049822064,23.84386829,0.09298736492433637,7.476457249304755,0.001849738750164631
4,Caddyshack,0.498245614,3.180545385,1.412454212,0.273184759,0.274374461,0.667870036,0.231316726,6.641057333,-0.00046547808511359805,1.632268145662159,0.0005151929816867919
5,Friday the 13th,51.81052632,3.180545385,1.412454212,0.077641984,0.854184642,7.602888087,12.36654804,72.28109273,0.35611856730279967,23.93169238445296,0.00560736261028791
6,The Blues Brothers,0.0,3.180545385,1.412454212,0.428468728,0.892148404,0.9566787,0.209964413,4.267773704,-0.013358144461104093,0.8260093104564306,0.0003310803019394805
7,Raging Bull,-0.154385965,3.180545385,1.412454212,1.020848311,0.602243313,-0.16967509,0.0,1.300134833,-0.02947959636879097,-0.18216562076823617,0.00010085921146985267
8,Superman II,0.0,-0.089716293,1.412454212,0.287562904,0.067299396,-0.039711191,-0.231316726,2.003439,-0.02565895484277347,0.05676292175901486,0.0001554195738646251
9,The Long Riders,-0.154385965,3.180545385,1.412454212,0.284687275,0.654012079,-0.068592058,-0.181494662,1.5795189,-0.0279618656085126,-0.08725245081165059,0.00012253304287606612
10,Any Which Way You Can,0.0,-0.089716293,1.412454212,-0.092020129,0.595340811,0.277978339,0.103202847,4.7124896,-0.01094226225926058,0.9770894914870948,0.000365580112387036
11,The Gods Must Be Crazy,0.140350877,-0.089716293,0.506959707,0.273184759,1.530629853,1.530685921,1.462633452,6.0063566,-0.00391343714873954,1.4166457617887136,0.0004659546810630055
12,Popeye,0.140350877,-0.089716293,1.412454212,-0.18116463,0.854184642,0.259927798,-0.227758007,2.49115185,-0.023009495256275186,0.2224501533865103,0.00019325496726787115
13,Ordinary People,0.554385965,3.180545385,1.412454212,0.99209202,0.854184642,2.657039711,0.519572954,9.1278205,0.013043656464363604,2.477078580436337,0.0007081090853411187
14,Dressed to Kill,-0.414035088,3.180545385,1.412454212,0.336448598,0.419327006,-0.083032491,-0.067615658,4.907538462,-0.009882675501885861,1.0433520596701424,0.0003807114554029632
15,Somewhere in Time,0.554385965,-0.089716293,1.412454212,0.382458663,0.698878343,-0.119133574,-0.34519573,1.903842549,-0.026200004298171573,0.022927724990847796,0.00014769316086330243
16,9 to 5,0.498245614,-0.089716293,1.412454212,0.851186197,1.354616048,3.090252708,1.516014235,10.3300686,0.01957476950330517,2.8855098108589434,0.0008013761170213485
17,The Fog,51.81052632,3.180545385,1.412454212,0.287562904,3.884383089,2.527075812,0.412811388,21.448782,0.07997625740168014,6.662791550525098,0.0016639346811989043
18,Cruising,-0.414035088,3.180545385,-0.433699634,5.02372394,0.595340811,0.010830325,-0.259786477,1.801320273,-0.026756948055092936,-0.011901441578353766,0.0001397397705742088
19,Heaven's Gate,0.140350877,3.180545385,1.412454212,0.287562904,-0.515962036,-0.610108303,-0.533807829,0.079193705,-0.03611225773116769,-0.5969473011739742,6.142027167484943e-06
20,The Final Countdown,0.0,-0.089716293,1.412454212,-0.066139468,-0.063848145,-0.137184116,-0.181494662,1.387316667,-0.02900598829006226,-0.15254795388972797,0.00010762253334461255
21,Xanadu,-0.287719298,-0.089716293,1.412454212,-0.18116463,0.892148404,-0.227436823,-0.270462633,1.13812855,-0.03035968205766979,-0.2372028676575289,8.829121894904332e-05
