name,genre,rating,country,score,company,writer,director,hit rate
The Shining,-0.278146896,2.325789922,-0.210621479,0.552166054,-0.035145094,-0.023959808,-0.032153509,2.473619579
The Blue Lagoon,-0.309665462,2.325789922,0.620879471,-0.310887725,-0.032357096,0.006458945,-0.023385526,13.078468
Star Wars: Episode V - The Empire Strikes Back,-0.320349722,-0.418807081,0.620879471,0.8986205,-0.017364497,0.200138894,-0.002187835,29.90972594
Airplane!,-0.2824206,-0.418807081,0.620879471,0.146530778,-0.031332934,0.012292678,-0.01371051,23.84386829
Caddyshack,-0.2824206,2.325789922,0.620879471,-0.161702715,-0.036112358,-0.018959465,-0.030876944,6.641057333
Friday the 13th,3.623744767,2.325789922,0.620879471,-0.245542225,-0.031332934,0.141134848,0.08367793,72.28109273
The Blues Brothers,-0.320349722,2.325789922,0.620879471,-0.095124281,-0.031019995,-0.012292341,-0.031078507,4.267773704
Raging Bull,-0.332102407,2.325789922,0.620879471,0.158860117,-0.033409708,-0.038294124,-0.033060542,1.300134833
Superman II,-0.320349722,-0.418807081,0.620879471,-0.155538045,-0.037819296,-0.035293919,-0.035244139,2.003439
The Long Riders,-0.332102407,2.325789922,0.620879471,-0.156770979,-0.032982973,-0.035960631,-0.034773826,1.5795189
Any Which Way You Can,-0.320349722,-0.418807081,0.620879471,-0.318285329,-0.033466606,-0.027960082,-0.032086321,4.7124896
The Gods Must Be Crazy,-0.309665462,-0.418807081,0.031581779,-0.161702715,-0.025756939,0.000958568,-0.019253488,6.0063566
Popeye,-0.309665462,-0.418807081,0.620879471,-0.356506282,-0.031332934,-0.028376778,-0.035210545,2.49115185
Ordinary People,-0.278146896,2.325789922,0.620879471,0.146530778,-0.031332934,0.026960351,-0.028155846,9.1278205
Dressed to Kill,-0.351868288,2.325789922,0.620879471,-0.134578168,-0.034917502,-0.036293987,-0.033698824,4.907538462
Somewhere in Time,-0.278146896,-0.418807081,0.620879471,-0.114851224,-0.032613137,-0.037127378,-0.036319141,1.903842549
9 to 5,-0.2824206,-0.418807081,0.620879471,0.086117013,-0.027207836,0.036961037,-0.018749581,10.3300686
The Fog,3.623744767,2.325789922,0.620879471,-0.155538045,-0.006354752,0.023960145,-0.02916366,21.448782
Cruising,-0.351868288,2.325789922,-0.58060126,1.875104204,-0.033466606,-0.034127172,-0.035512889,1.801320273
Heaven's Gate,-0.309665462,2.325789922,0.620879471,-0.155538045,-0.042627169,-0.048461488,-0.038099612,0.079193705
The Final Countdown,-0.320349722,-0.418807081,0.620879471,-0.307188924,-0.038900356,-0.037544073,-0.034773826,1.387316667
Xanadu,-0.342252454,-0.418807081,0.620879471,-0.356506282,-0.031019995,-0.039627549,-0.035613671,1.13812855
Brubaker,-0.351868288,2.325789922,0.620879471,-0.114851224,-0.033495055,-0.035127241,-0.031112101,4.124634222
American Gigolo,-0.351868288,2.325789922,0.620879471,-0.27513264,-0.031332934,-0.035043902,-0.036083984,4.738265417
Cattle Annie and Little Britches,-0.278146896,-0.418807081,0.620879471,-0.318285329,-0.042570271,-0.04829481,-0.037360549,0.104865882
Private Benjamin,-0.2824206,2.325789922,0.620879471,-0.27513264,-0.035145094,-0.021042941,-0.027618345,6.9847348
The Hollywood Knights,-0.2824206,2.325789922,0.620879471,7.213708296,-0.023936206,-0.039877566,-0.035244139,2.5
Motel Hell,-0.2824206,2.325789922,0.620879471,-0.313353593,-0.036852031,-0.031543661,-0.032355072,2.114222667
The Stunt Man,-0.320349722,2.325789922,0.620879471,-0.134578168,-0.036738235,-0.032293713,-0.035244139,2.018253143
The Island,-0.320349722,2.325789922,0.620879471,-0.356506282,-0.031019995,-0.028960151,-0.031616008,0.714401273
The Nude Bomb,-0.320349722,-0.418807081,0.620879471,-0.255405697,-0.031019995,-0.039294193,-0.036151172,0.977469
Stardust Memories,-0.2824206,-0.418807081,0.620879471,-0.161702715,-0.041204721,-0.033710477,-0.033362886,1.0389003
Melvin and Howard,-0.2824206,2.325789922,0.620879471,-0.155538045,-0.031019995,-0.043377806,-0.028055065,0.615641429
Bronco Billy,-0.320349722,-0.418807081,0.620879471,-0.318285329,-0.035145094,-0.025209894,-0.027987877,3.733178308
When Time Ran Out...,-0.320349722,-0.418807081,0.620879471,-0.240610489,-0.042314231,-0.047544759,-0.038805082,0.1881994
