name,genre,rating,country,score,company,writer,director,hit rate,zscore,robust,minmax,tier
The Shining,-0.278146896,2.325789922,-0.210621479,0.552166054,-0.035145094,-0.023959808,-0.032153509,2.473619579,-0.0231047378636291,0.2164940391563172,0.0001918948629143,2
The Blue Lagoon,-0.309665462,2.325789922,0.620879471,-0.310887725,-0.032357096,0.006458945,-0.023385526,13.078468,0.034505221177597,3.819204069668548,0.0010145892249561,1
Star Wars: Episode V - The Empire Strikes Back,-0.320349722,-0.418807081,0.620879471,0.8986205,-0.017364497,0.200138894,-0.002187835,29.90972594,0.1259396332542081,9.53716809888554,0.0023203109536975,1
Airplane!,-0.2824206,-0.418807081,0.620879471,0.146530778,-0.031332934,0.012292678,-0.01371051,23.84386829,0.0929873649243363,7.476457249304755,0.0018497387501646,1
Caddyshack,-0.2824206,2.325789922,0.620879471,-0.161702715,-0.036112358,-0.018959465,-0.030876944,6.641057333,-0.0004654780851135,1.632268145662159,0.0005151929816867,1
Friday the 13th,3.623744767,2.325789922,0.620879471,-0.245542225,-0.031332934,0.141134848,0.08367793,72.28109273,0.3561185673027996,23.93169238445296,0.0056073626102879,1
The Blues Brothers,-0.320349722,2.325789922,0.620879471,-0.095124281,-0.031019995,-0.012292341,-0.031078507,4.267773704,-0.013358144461104,0.8260093104564306,0.0003310803019394,2
Raging Bull,-0.332102407,2.325789922,0.620879471,0.158860117,-0.033409708,-0.038294124,-0.033060542,1.300134833,-0.0294795963687909,-0.1821656207682361,0.0001008592114698,3
Superman II,-0.320349722,-0.418807081,0.620879471,-0.155538045,-0.037819296,-0.035293919,-0.035244139,2.003439,-0.0256589548427734,0.0567629217590148,0.0001554195738646,2
The Long Riders,-0.332102407,2.325789922,0.620879471,-0.156770979,-0.032982973,-0.035960631,-0.034773826,1.5795189,-0.0279618656085126,-0.0872524508116505,0.000122533042876,3
Any Which Way You Can,-0.320349722,-0.418807081,0.620879471,-0.318285329,-0.033466606,-0.027960082,-0.032086321,4.7124896,-0.0109422622592605,0.9770894914870948,0.000365580112387,2
The Gods Must Be Crazy,-0.309665462,-0.418807081,0.031581779,-0.161702715,-0.025756939,0.000958568,-0.019253488,6.0063566,-0.0039134371487395,1.4166457617887136,0.000465954681063,1
Popeye,-0.309665462,-0.418807081,0.620879471,-0.356506282,-0.031332934,-0.028376778,-0.035210545,2.49115185,-0.0230094952562751,0.2224501533865103,0.0001932549672678,2
Ordinary People,-0.278146896,2.325789922,0.620879471,0.146530778,-0.031332934,0.026960351,-0.028155846,9.1278205,0.0130436564643636,2.477078580436337,0.0007081090853411,1
Dressed to Kill,-0.351868288,2.325789922,0.620879471,-0.134578168,-0.034917502,-0.036293987,-0.033698824,4.907538462,-0.0098826755018858,1.0433520596701424,0.0003807114554029,2
Somewhere in Time,-0.278146896,-0.418807081,0.620879471,-0.114851224,-0.032613137,-0.037127378,-0.036319141,1.903842549,-0.0262000042981715,0.0229277249908477,0.0001476931608633,3
9 to 5,-0.2824206,-0.418807081,0.620879471,0.086117013,-0.027207836,0.036961037,-0.018749581,10.3300686,0.0195747695033051,2.8855098108589434,0.0008013761170213,1
The Fog,3.623744767,2.325789922,0.620879471,-0.155538045,-0.006354752,0.023960145,-0.02916366,21.448782,0.0799762574016801,6.662791550525098,0.0016639346811989,1
Cruising,-0.351868288,2.325789922,-0.58060126,1.875104204,-0.033466606,-0.034127172,-0.035512889,1.801320273,-0.0267569480550929,-0.0119014415783537,0.0001397397705742,3
Heaven's Gate,-0.309665462,2.325789922,0.620879471,-0.155538045,-0.042627169,-0.048461488,-0.038099612,0.079193705,-0.0361122577311676,-0.5969473011739742,6.142027167484943e-06,5
The Final Countdown,-0.320349722,-0.418807081,0.620879471,-0.307188924,-0.038900356,-0.037544073,-0.034773826,1.387316667,-0.0290059882900622,-0.1525479538897279,0.0001076225333446,3
Xanadu,-0.342252454,-0.418807081,0.620879471,-0.356506282,-0.031019995,-0.039627549,-0.035613671,1.13812855,-0.0303596820576697,-0.2372028676575289,8.829121894904332e-05,3
Brubaker,-0.351868288,2.325789922,0.620879471,-0.114851224,-0.033495055,-0.035127241,-0.031112101,4.124634222,-0.0141357378191451,0.7773815482205706,0.0003199759428621,2
American Gigolo,-0.351868288,2.325789922,0.620879471,-0.27513264,-0.031332934,-0.035043902,-0.036083984,4.738265417,-0.0108022372723231,0.9858461272035148,0.0003675797278912,2
Cattle Annie and Little Britches,-0.278146896,-0.418807081,0.620879471,-0.318285329,-0.042570271,-0.04829481,-0.037360549,0.104865882,-0.03597279575993,-0.5882258743405802,8.133602571562908e-06,5
Private Benjamin,-0.2824206,2.325789922,0.620879471,-0.27513264,-0.035145094,-0.021042941,-0.027618345,6.9847348,0.0014015212355042,1.7490232569535262,0.0005418545145288,1
The Hollywood Knights,-0.2824206,2.325789922,0.620879471,7.213708296,-0.023936206,-0.039877566,-0.035244139,2.5,-0.0229614284156326,0.2254560727067103,0.0001939413818992,2
Motel Hell,-0.2824206,2.325789922,0.620879471,-0.313353593,-0.036852031,-0.031543661,-0.032355072,2.114222667,-0.0250571317647869,0.0943986721698812,0.0001640138596694,2
The Stunt Man,-0.320349722,2.325789922,0.620879471,-0.134578168,-0.036738235,-0.032293713,-0.035244139,2.018253143,-0.0255784782402252,0.061795625618681,0.0001565688134803,2
The Island,-0.320349722,2.325789922,0.620879471,-0.356506282,-0.031019995,-0.028960151,-0.031616008,0.714401273,-0.0326615453284621,-0.3811527338363407,5.541964662737652e-05,4
The Nude Bomb,-0.320349722,-0.418807081,0.620879471,-0.255405697,-0.031019995,-0.039294193,-0.036151172,0.977469,-0.0312324517312799,-0.2917825984848368,7.582770219274197e-05,4
Stardust Memories,-0.2824206,-0.418807081,0.620879471,-0.161702715,-0.041204721,-0.033710477,-0.033362886,1.0389003,-0.0308987312916892,-0.2709129781082603,8.059336994739071e-05,3
Melvin and Howard,-0.2824206,2.325789922,0.620879471,-0.155538045,-0.031019995,-0.043377806,-0.028055065,0.615641429,-0.0331980499857556,-0.4147037160348277,4.7758135247917865e-05,4
Bronco Billy,-0.320349722,-0.418807081,0.620879471,-0.318285329,-0.035145094,-0.025209894,-0.027987877,3.733178308,-0.016262289588365,0.6443950035870407,0.0002896078922639,2
When Time Ran Out...,-0.320349722,-0.418807081,0.620879471,-0.240610489,-0.042314231,-0.047544759,-0.038805082,0.1881994,-0.0355200933385324,-0.559915568595714,1.459838289713048e-05,5
Oh Heavenly Dog,-0.2824206,-0.418807081,0.620879471,-0.360205084,-0.039896069,-0.04046094,-0.035949609,1.036011167,-0.0309144262669672,-0.2718944827960569,8.036923912194843e-05,3
The Octagon,-0.320349722,2.325789922,0.620879471,-0.255405697,-0.034007136,-0.009625492,-0.023519901,4.74275,-0.0107778751473128,0.987369642817823,0.0003679276292477,2
