,0,1,zscore,robust,minmax
0,Solana Films,12890.39,36.62895748695386,4448.253666954271,1.0
1,Haxan Films,4143.98,11.746335210905126,1429.6479723899913,0.3214782485246761
2,Bórd Scannán na hÉireann,139.58,0.35423575041682137,47.62899050905954,0.010828221644186098
3,Plunge Pictures LLC,109.37,0.26829145796318243,37.202761000862814,0.008484615283168314
4,Evolution Entertainment,86.59,0.2034847389266417,29.340811044003452,0.0067174073088556675
5,ERBP,77.92,0.17881949511422693,26.348576358930114,0.006044813229079959
6,Redwave Films,73.7,0.16681403618823035,24.892148403796376,0.005717437563952681
7,View Askew Productions,59.92,0.1276113764725354,20.13632441760138,0.004648424136120009
8,Harvest Filmworks,53.69,0.10988767763154994,17.986194995685935,0.004165118355612204
9,Conquering Unicorn,52.29,0.10590482395941837,17.5030198446937,0.004056510315048652
10,Insurge Pictures,52.27,0.10584792604981651,17.49611734253667,0.004054958771612031
11,Too Askew Prod. Inc.,48.09,0.0939562629430237,16.053494391717,0.003730686193357998
12,Big Red Dog Productions,46.51,0.08946132808447521,15.508196721311474,0.0036081142618648466
13,Asghar Farhadi Productions,45.85,0.0875836970676132,15.280414150129422,0.0035569133284563156
14,Brothers McMullen Productions,43.81,0.08178011028822149,14.576358930112166,0.0033986558979208544
15,Wiedemann & Berg Filmproduktion,38.68,0.0671857964753394,12.805867126833476,0.0030006850064272688
16,Rimfire Films,37.3,0.06325984071280971,12.329594477998272,0.002893628509300339
17,Pure Flix Productions,32.34,0.04914915913154362,10.61777394305436,0.0025088457370180425
18,Desperate Pictures,30.42,0.0436869598097632,9.955133735979294,0.0023598975671023145
19,Detour Filmproduction,29.28,0.040443778962456066,9.561691113028473,0.002271459591214851
20,Alliance Atlantis Communications,28.31,0.0376842303467649,9.226919758412425,0.0021962097345386757
21,Cinesthesia Productions,27.07,0.03415655995144838,8.798964624676445,0.0021000140414681014
22,Snoot Entertainment,26.9,0.0336729277198324,8.740293356341674,0.002086825922256813
23,Hughes Entertainment,26.48,0.03247807161819294,8.595340811044004,0.0020542435100877475
24,Aries Cinematográfica Argentina,26.08,0.03134011342615534,8.457290767903364,0.0020232126413553043
25,Ada Films,25.94,0.030941828058942192,8.408973252804142,0.0020123518372989493
26,Celador Films,25.23,0.02892195226807547,8.163934426229508,0.0019572720452988622
27,VAE Productions,24.95,0.028125381533649154,8.06729939603106,0.001935550437186152
28,Astral Bellevue Pathé,24.86,0.027869340940440697,8.036238136324418,0.001928568491721352
29,Bazelevs Production,24.82,0.02775554512123694,8.022433132010354,0.0019254654048481078
30,Samuel Goldwyn Films,24.8,0.027698647211635063,8.015530629853322,0.0019239138614114857
31,FaithStep Films,24.42,0.026617586929199355,7.884383088869717,0.0018944345361156646
32,Iron Horse Entertainment (II),23.96,0.025308935008356126,7.725625539257981,0.0018587490370733548
33,Doug Liman Productions,22.78,0.021951958341845237,7.318377911993098,0.001767207974312647
34,Northern Lights Films,21.95,0.019590695093367236,7.031924072476273,0.001702818921692827
35,Strike Entertainment,21.25,0.017599268257301456,6.790336496980156,0.0016485149014110513
36,Tonic Films,20.37,0.015095760234818761,6.486626402070751,0.001580246990199676
37,Blinding Edge Pictures,19.69,0.01316123130835486,6.251941328731666,0.0015274945133545224
38,Sailor Bear,19.52,0.01267759907673888,6.193270060396894,0.0015143063941432339
39,Artists Public Domain,19.39,0.012307762664326666,6.148403796376187,0.0015042213618051898
40,Forest Whitaker's Significant Productions,19.32,0.012108619980720088,6.124245038826575,0.0014987909597770123
41,Australian Film Finance Corporation (AFFC),18.72,0.0104016826926637,5.917169974115617,0.0014522446566783472
42,Tokuma Shoten,18.71,0.010373233737862765,5.9137187230371016,0.0014514688849600363
43,Blow Up Pictures,18.71,0.010373233737862765,5.9137187230371016,0.0014514688849600363
44,FilmDistrict,18.53,0.00986115255144585,5.8515962036238145,0.0014375049940304368
45,Tomboy Films,18.42,0.009548214048635515,5.813632441760139,0.001428971505129015
46,Hal Roach Studios,18.21,0.008950785997815779,5.741156169111304,0.001412680299044482
47,Great American Films Limited Partnership,18.02,0.00841025585659792,5.6755823986194995,0.0013979406363965714
48,Tornasol Films,17.54,0.007044706026152812,5.5099223468507335,0.0013607035939176395
49,"""Weathering With You"" Film Partners",17.43,0.006731767523342477,5.471958584987058,0.0013521701050162175
50,Claudie Ossard Productions,17.4,0.006646420658939654,5.46160483175151,0.0013498427898612842
51,SenArt Films,17.4,0.006646420658939654,5.46160483175151,0.0013498427898612842
52,Hickmar Productions,17.28,0.006305033201328384,5.420189818809319,0.0013405335292415515
53,Exclusive Media Group,17.17,0.005992094698518049,5.382226056945644,0.0013320000403401295
54,Next Entertainment,17.08,0.005736054105309581,5.351164797238999,0.0013250180948753295
55,Anhelo Producciones,16.81,0.00496793232568421,5.257981018119068,0.0013040722584809303
56,Atomic Monster,16.62,0.004427402184466362,5.192407247627266,0.0012893325958330199
57,Gold Circle Films,16.59,0.004342055320063539,5.182053494391718,0.0012870052806780866
58,Kasdan Pictures,16.44,0.003915320998049447,5.1302847282139785,0.0012753687049034204
59,Mooz Films,16.1,0.002948056534817497,5.012942191544435,0.0012489924664808437
60,Cherry Sky Films,15.24,0.0005014464219366763,4.7161345987920615,0.0011822760987060905
61,Belladonna Productions,15.15,0.00024540582872821905,4.6850733390854185,0.0011752941532412907
62,888 Productions,14.96,-0.0002951243124896345,4.619499568593616,0.0011605544905933802
63,Night and Day Pictures,14.83,-0.0006649607249018532,4.574633304572908,0.0011504694582553361
64,Everyman Pictures,14.59,-0.0013477356401244073,4.491803278688525,0.00113185093701587
65,Beijing Dengfeng International Culture Communications Company,14.58,-0.0013761845949253465,4.488352027610008,0.001131075165297559
66,Strong Heart/Demme Production,14.35,-0.0020305105553469617,4.408973252804141,0.001113232415776404
67,Camelot Pictures,14.33,-0.00208740846494884,4.402070750647109,0.0011116808723397819
68,Illumination Entertainment,14.3,-0.0021727553293516572,4.391716997411562,0.0011093535571848486
69,Matchbox Pictures,13.88,-0.003367611430991126,4.246764452113891,0.0010767711450157833
70,Toei Company,13.62,-0.004107284255815563,4.157031924072475,0.0010566010803396949
71,Barunson E&A,13.57,-0.004249529029820259,4.1397756686798965,0.0010527222217481397
72,Twisted Pictures,13.49,-0.004477120668227777,4.112165660051769,0.001046516048001651
73,AVCO Embassy Pictures,12.83,-0.0063547516850898,3.884383088869715,0.0009953151145931194
74,Monkeypaw Productions,12.76,-0.006553894368696379,3.860224331320103,0.0009898847125649419
75,Asia Union Film & Entertainment Ltd.,12.56,-0.007122873464715172,3.7911993097497843,0.0009743692781987202
76,Blumhouse Productions,12.52,-0.007236669283918933,3.7773943054357204,0.0009712661913254758
77,Open Road Films,12.43,-0.00749270987712739,3.746333045729077,0.000964284245860676
78,Buena Vista International,12.35,-0.007720301515534908,3.7187230371009488,0.0009580780721141875
79,Kevin Downes Productions,12.3,-0.007862546289539604,3.70146678170837,0.0009541992135226321
80,Warner Bros. Pictures,12.12,-0.008374627475956523,3.6393442622950816,0.0009402353225930325
81,Depth of Field,12.01,-0.008687565978766859,3.601380500431406,0.0009317018336916106
82,Armory Films,11.77,-0.009370340893989413,3.5185504745470233,0.0009130833124521446
83,erbp,11.74,-0.00945568775839223,3.5081967213114753,0.0009107559972972114
84,thefyzz,11.74,-0.00945568775839223,3.5081967213114753,0.0009107559972972114
85,South Pacific Pictures,11.73,-0.00948413671319317,3.50474547023296,0.0009099802255789003
86,The Mark Gordon Company,11.68,-0.00962638148719787,3.4874892148403798,0.0009061013669873449
87,Sikhya Entertainment,11.62,-0.00979707521600351,3.4667817083692833,0.0009014467366774783
88,Melampo Cinematografica,11.5,-0.010138462673614785,3.4253666954270927,0.0008921374760577454
89,Lee Daniels Entertainment,11.25,-0.010849686543638278,3.3390854184641934,0.0008727431830999683
90,Truth Entertainment (II),11.15,-0.011134176091647675,3.3045729076790336,0.0008649854659168575
91,Outlaw Productions (I),11.14,-0.011162625046448613,3.301121656600518,0.0008642096941985464
92,Blueprint Pictures,10.99,-0.01158935936846271,3.249352890422778,0.0008525731184238802
93,Atlantic Entertainment Group,10.9,-0.011845399961671168,3.218291630716134,0.0008455911729590805
94,Consejo Nacional para la Cultura y las Artes (CONACULTA),10.87,-0.01193074682607399,3.2079378774805862,0.0008432638578041471
95,Cannon International,10.73,-0.012329032193287143,3.1596203623813635,0.000832403053747792
96,Anarchist's Convention Films,10.51,-0.012954909198907818,3.0836928386540117,0.0008153360759449482
97,Altavista Films,10.45,-0.013125602927713458,3.062985332182916,0.0008106814456350816
98,Apartment Story,10.44,-0.013154051882514398,3.0595340811044,0.0008099056739167706
99,Cannon Entertainment,10.39,-0.013296296656519093,3.042277825711821,0.0008060268153252153
100,Laurenfilm,10.38,-0.013324745611320032,3.0388265746333043,0.0008052510436069042
101,Bazmark Films,10.18,-0.01389372470733883,2.9698015530629855,0.0007897356092406824
102,Cort/Madden Productions,10.13,-0.014035969481343526,2.9525452976704054,0.0007858567506491271
103,Protagonist Pictures,10.12,-0.01406441843614447,2.949094046591889,0.0007850809789308159
104,Dickhouse Productions,10.12,-0.01406441843614447,2.949094046591889,0.0007850809789308159
105,Parts and Labor,10.11,-0.014092867390945408,2.9456427955133737,0.0007843052072125049
106,Hidden Empire Film Group (HEFG),10.11,-0.014092867390945408,2.9456427955133737,0.0007843052072125049
107,IFC Films,10.02,-0.014348907984153867,2.91458153580673,0.0007773232617477051
108,Westerly Films,10.0,-0.014405805893755744,2.9076790336496985,0.0007757717183110829
109,Cecchi Gori Pictures,9.92,-0.014633397532163262,2.88006902502157,0.0007695655445645943
110,Buena Vista Home Entertainment,9.84,-0.014860989170570781,2.8524590163934427,0.0007633593708181056
111,Vertigo Films,9.83,-0.01488943812537172,2.8490077653149264,0.0007625835990997946
112,Boies / Schiller Film Group,9.77,-0.01506013185417736,2.828300258843831,0.000757928968789928
113,The Zanuck Company,9.76,-0.015088580808978298,2.8248490077653146,0.0007571531970716169
114,LivePlanet,9.59,-0.015572213040594274,2.766177739430544,0.0007439650778603285
115,Georgetown Productions Inc.,9.58,-0.015600661995395212,2.7627264883520275,0.0007431893061420174
116,Barry & Enright Productions,9.39,-0.016141192136613067,2.6971527178602246,0.0007284496434941069
117,Hart Sharp Entertainment,9.37,-0.01619809004621495,2.690250215703192,0.0007268981000574847
118,BET Pictures,9.21,-0.01665327332302998,2.635030198446937,0.0007144857525645075
119,Carnival Film & Television,9.17,-0.01676706914223374,2.6212251941328732,0.0007113826656912631
120,Lucasfilm,8.96,-0.017364497193053476,2.548748921484038,0.0006950914596067304
121,Lutzus-Brown,8.96,-0.017364497193053476,2.548748921484038,0.0006950914596067304
122,Lumiere Pictures,8.9,-0.017535190921859112,2.528041415012942,0.0006904368292968638
123,Studio 37,8.9,-0.017535190921859112,2.528041415012942,0.0006904368292968638
124,Nibariki,8.74,-0.01799037419867415,2.472821397756687,0.0006780244818038866
125,Cinereach,8.71,-0.018075721063076967,2.4624676445211393,0.0006756971666489533
126,Avi Arad Productions,8.56,-0.018502455385091064,2.4106988783434,0.0006640605908742871
127,Dentsu,8.46,-0.01878694493310046,2.37618636755824,0.0006563028736911763
128,Crunk Pictures,8.42,-0.01890074075230422,2.362381363244176,0.0006531997868179318
129,Anabasis N.V.,8.35,-0.019099883435910802,2.3382226056945643,0.0006477693847897543
130,Brownstone Productions (II),8.35,-0.019099883435910802,2.3382226056945643,0.0006477693847897543
131,Pt. Merantau Films,8.32,-0.01918523030031362,2.3278688524590163,0.000645442069634821
132,Bergman Lustig Productions,8.31,-0.01921367925511456,2.3244176013805005,0.0006446662979165099
133,FX Sound,8.28,-0.01929902611951738,2.3140638481449525,0.0006423389827615767
134,Tokuma Japan Communications,8.26,-0.01935592402911926,2.3071613459879203,0.0006407874393249545
135,Elle Driver,8.26,-0.01935592402911926,2.3071613459879203,0.0006407874393249545
136,Matten Productions,8.18,-0.019583515667526776,2.2795513373597927,0.0006345812655784659
137,Genre Films,8.13,-0.019725760441531473,2.2622950819672134,0.0006307024069869104
138,Next Wave Films,8.08,-0.019868005215536173,2.2450388265746333,0.000626823548395355
139,Canal+ España,8.08,-0.019868005215536173,2.2450388265746333,0.000626823548395355
140,Casual Friday Productions,8.04,-0.019981801034739934,2.231233822260569,0.0006237204615221106
141,Lucasfilm Animation,8.03,-0.020010249989540874,2.227782571182053,0.0006229446898037995
142,Yellow Bird,8.03,-0.020010249989540874,2.227782571182053,0.0006229446898037995
143,Alliance Films,7.96,-0.02020939267314745,2.2036238136324418,0.000617514287775622
144,Bob Yari Productions,7.83,-0.020579229085559668,2.1587575496117344,0.0006074292554375779
145,40 Acres & A Mule Filmworks,7.8,-0.020664575949962485,2.1484037963761864,0.0006051019402826446
146,Bachelor Party Productions,7.69,-0.020977514452772822,2.1104400345125107,0.0005965684513812228
147,Myriad Pictures,7.66,-0.021062861317175642,2.1000862812769627,0.0005942411362262896
148,Affirm Films,7.61,-0.02120510609118034,2.082830025884383,0.0005903622776347342
149,Bridgit Folman Film Gang,7.45,-0.021660289367995376,2.0276100086281277,0.0005779499301417568
150,Temple Hill Entertainment,7.39,-0.021830983096801017,2.0069025021570317,0.0005732952998318903
151,Media 8 Entertainment,7.31,-0.022058574735208534,1.979292493528904,0.0005670891260854016
152,Fox Searchlight Pictures,7.26,-0.02220081950921323,1.9620362381363243,0.0005632102674938462
153,Translux,7.26,-0.02220081950921323,1.9620362381363243,0.0005632102674938462
154,Good Machine,7.2,-0.022371513238018868,1.9413287316652286,0.0005585556371839797
155,Perfect World Pictures,7.08,-0.022712900695630145,1.899913718723037,0.0005492463765642468
156,Faliro House Productions,7.0,-0.022940492334037665,1.8723037100949094,0.0005430402028177581
157,Ang Lee Productions,6.93,-0.023139635017644242,1.8481449525452975,0.0005376098007895805
158,Jack Giarraputo Productions,6.87,-0.023310328746449883,1.827437446074202,0.000532955170479714
159,Juno Pix,6.85,-0.023367226656051763,1.8205349439171699,0.0005314036270430918
160,Estudios Churubusco Azteca S.A.,6.83,-0.02342412456565364,1.813632441760138,0.0005298520836064697
