,0,1,zscore,robust,minmax
0,Horror,76.76,3.623744766728893,51.810526315789446,1.0
1,Family,21.13,0.6519179160193844,12.771929824561397,0.2663853356191481
2,Thriller,4.3,-0.2471625423203786,0.9614035087719291,0.04444151391269946
3,Animation,3.99,-0.26372314493982757,0.7438596491228067,0.04035342212844521
4,Drama,3.72,-0.2781468956083799,0.5543859649122804,0.03679282605828828
5,Comedy,3.64,-0.2824205995101732,0.49824561403508744,0.03573783463009363
6,Adventure,3.13,-0.30966546188410543,0.1403508771929822,0.029012264275352757
7,Action,2.93,-0.32034972163858866,0.0,0.02637478570486615
8,Mystery,2.81,-0.32676027749127856,-0.08421052631578951,0.02479229856257418
9,Biography,2.71,-0.3321024073685202,-0.15438596491228077,0.02347355927733087
10,Fantasy,2.52,-0.34225245413527927,-0.287719298245614,0.020967954635368588
11,Crime,2.34,-0.3518682879143142,-0.41403508771929826,0.018594223921930636
12,Sci-Fi,2.0,-0.37003152949693563,-0.6526315789473682,0.01411051035210339
13,Western,0.99,-0.42398704125707587,-1.3614035087719292,0.0007912435711459834
14,Romance,0.93,-0.4271923191834209,-1.4035087719298238,0.0
