,0,1,zscore,robust,minmax
0,Approved,5.625427692,0.44636094368330165,0.9411548449529986,0.49424660622122685
1,G,4.184494361,-0.12716522913417722,0.25778287369317787,0.3399110012579016
2,NC-17,2.868086737,-0.651127171173861,-0.3665319739410438,0.1989131058956119
3,Not Rated,3.102000387,-0.5580239043064315,-0.2555969093783103,0.22396714823418107
4,PG,3.451770232,-0.4188070812556412,-0.08971629344515585,0.2614303253740563
5,PG-13,3.320521483,-0.47104724468416825,-0.15196186331289557,0.24737252364110812
6,R,10.34732529,2.3257899218009483,3.1805453845506095,1.0
7,TV-MA,7.299153417,1.1125440964730475,1.734930117850425,0.6735161579438493
8,Unrated,3.830115271,-0.26821664271567114,0.08971629344515585,0.30195413672791965
9,X,1.010961647,-1.3903076886873502,-1.2472855843448076,0.0
