name,genre,rating,country,score,company,writer,director,hit rate
The Shining,-0.278146896,2.325789922,-0.210621479,0.552166054,-0.035145094,-0.023959808,-0.032153509,-0.023104737863629154
The Blue Lagoon,-0.309665462,2.325789922,0.620879471,-0.310887725,-0.032357096,0.006458945,-0.023385526,0.034505221177597
Star Wars: Episode V - The Empire Strikes Back,-0.320349722,-0.418807081,0.620879471,0.8986205,-0.017364497,0.200138894,-0.002187835,0.1259396332542081
Airplane!,-0.2824206,-0.418807081,0.620879471,0.146530778,-0.031332934,0.012292678,-0.01371051,0.09298736492433637
Caddyshack,-0.2824206,2.325789922,0.620879471,-0.161702715,-0.036112358,-0.018959465,-0.030876944,-0.00046547808511359805
Friday the 13th,3.623744767,2.325789922,0.620879471,-0.245542225,-0.031332934,0.141134848,0.08367793,0.35611856730279967
The Blues Brothers,-0.320349722,2.325789922,0.620879471,-0.095124281,-0.031019995,-0.012292341,-0.031078507,-0.013358144461104093
Raging Bull,-0.332102407,2.325789922,0.620879471,0.158860117,-0.033409708,-0.038294124,-0.033060542,-0.02947959636879097
Superman II,-0.320349722,-0.418807081,0.620879471,-0.155538045,-0.037819296,-0.035293919,-0.035244139,-0.02565895484277347
The Long Riders,-0.332102407,2.325789922,0.620879471,-0.156770979,-0.032982973,-0.035960631,-0.034773826,-0.0279618656085126
Any Which Way You Can,-0.320349722,-0.418807081,0.620879471,-0.318285329,-0.033466606,-0.027960082,-0.032086321,-0.01094226225926058
The Gods Must Be Crazy,-0.309665462,-0.418807081,0.031581779,-0.161702715,-0.025756939,0.000958568,-0.019253488,-0.00391343714873954
Popeye,-0.309665462,-0.418807081,0.620879471,-0.356506282,-0.031332934,-0.028376778,-0.035210545,-0.023009495256275186
Ordinary People,-0.278146896,2.325789922,0.620879471,0.146530778,-0.031332934,0.026960351,-0.028155846,0.013043656464363604
Dressed to Kill,-0.351868288,2.325789922,0.620879471,-0.134578168,-0.034917502,-0.036293987,-0.033698824,-0.009882675501885861
Somewhere in Time,-0.278146896,-0.418807081,0.620879471,-0.114851224,-0.032613137,-0.037127378,-0.036319141,-0.026200004298171573
9 to 5,-0.2824206,-0.418807081,0.620879471,0.086117013,-0.027207836,0.036961037,-0.018749581,0.01957476950330517
The Fog,3.623744767,2.325789922,0.620879471,-0.155538045,-0.006354752,0.023960145,-0.02916366,0.07997625740168014
Cruising,-0.351868288,2.325789922,-0.58060126,1.875104204,-0.033466606,-0.034127172,-0.035512889,-0.026756948055092936
Heaven's Gate,-0.309665462,2.325789922,0.620879471,-0.155538045,-0.042627169,-0.048461488,-0.038099612,-0.03611225773116769
The Final Countdown,-0.320349722,-0.418807081,0.620879471,-0.307188924,-0.038900356,-0.037544073,-0.034773826,-0.02900598829006226
Xanadu,-0.342252454,-0.418807081,0.620879471,-0.356506282,-0.031019995,-0.039627549,-0.035613671,-0.03035968205766979
Brubaker,-0.351868288,2.325789922,0.620879471,-0.114851224,-0.033495055,-0.035127241,-0.031112101,-0.014135737819145199
American Gigolo,-0.351868288,2.325789922,0.620879471,-0.27513264,-0.031332934,-0.035043902,-0.036083984,-0.010802237272323129
Cattle Annie and Little Britches,-0.278146896,-0.418807081,0.620879471,-0.318285329,-0.042570271,-0.04829481,-0.037360549,-0.03597279575993004
Private Benjamin,-0.2824206,2.325789922,0.620879471,-0.27513264,-0.035145094,-0.021042941,-0.027618345,0.0014015212355042589
The Hollywood Knights,-0.2824206,2.325789922,0.620879471,7.213708296,-0.023936206,-0.039877566,-0.035244139,-0.02296142841563263
Motel Hell,-0.2824206,2.325789922,0.620879471,-0.313353593,-0.036852031,-0.031543661,-0.032355072,-0.02505713176478694
The Stunt Man,-0.320349722,2.325789922,0.620879471,-0.134578168,-0.036738235,-0.032293713,-0.035244139,-0.025578478240225258
The Island,-0.320349722,2.325789922,0.620879471,-0.356506282,-0.031019995,-0.028960151,-0.031616008,-0.032661545328462153
The Nude Bomb,-0.320349722,-0.418807081,0.620879471,-0.255405697,-0.031019995,-0.039294193,-0.036151172,-0.031232451731279993
Stardust Memories,-0.2824206,-0.418807081,0.620879471,-0.161702715,-0.041204721,-0.033710477,-0.033362886,-0.030898731291689255
Melvin and Howard,-0.2824206,2.325789922,0.620879471,-0.155538045,-0.031019995,-0.043377806,-0.028055065,-0.03319804998575563
Bronco Billy,-0.320349722,-0.418807081,0.620879471,-0.318285329,-0.035145094,-0.025209894,-0.027987877,-0.016262289588365036
When Time Ran Out...,-0.320349722,-0.418807081,0.620879471,-0.240610489,-0.042314231,-0.047544759,-0.038805082,-0.035520093338532434
Oh Heavenly Dog,-0.2824206,-0.418807081,0.620879471,-0.360205084,-0.039896069,-0.04046094,-0.035949609,-0.030914426266967266
The Octagon,-0.320349722,2.325789922,0.620879471,-0.255405697,-0.034007136,-0.009625492,-0.023519901,-0.010777875147312896
The Last Flight of Noah's Ark,-0.309665462,-0.127165229,0.620879471,-0.310887725,-0.039526233,-0.033877155,-0.033295698,-0.02658303976313355
Willie & Phil,-0.2824206,2.325789922,0.620879471,-0.320751197,-0.033495055,-0.042461077,-0.034437888,-0.03219653734714241
Phobia,-0.278146896,2.325789922,0.10786627,-0.418152981,-0.042826312,-0.043461145,-0.036923829,-0.03647944746584696
Indiana Jones and the Raiders of the Lost Ark,-0.320349722,-0.418807081,0.620879471,0.552166054,-0.031332934,0.033794153,-0.010855037,0.0811375557266214
An American Werewolf in London,-0.2824206,2.325789922,-0.210621479,-0.116084158,-0.034120932,-0.032293713,-0.031078507,-0.019881585862461748
Escape from New York,-0.320349722,2.325789922,0.620879471,-0.114851224,-0.006354752,0.023960145,-0.02916366,-0.01368591497533386
The Evil Dead,3.623744767,-0.651127171,0.620879471,-0.116084158,-0.029967384,-0.019792856,-0.029969912,0.00934794940961478
Porky's,-0.2824206,2.325789922,0.10786627,-0.27513264,0.027869341,0.145885173,-0.013979261,0.20528629447499472
Blow Out,-0.351868288,2.325789922,0.620879471,-0.031011714,-0.034917502,-0.036293987,-0.033698824,-0.032920859614469625
Clash of the Titans,-0.320349722,-0.418807081,-0.210621479,0.086117013,-0.035059747,-0.026293301,-0.030238662,-0.021660426833219414
Excalibur,-0.309665462,2.325789922,-0.210621479,-0.031011714,-0.02900012,-0.022626383,-0.035378514,-0.019271762382445764
Mad Max 2,-0.320349722,2.325789922,0.002975095,0.126803834,-0.033580401,-0.01504253,-0.02960038,0.006316345888408681
Stripes,-0.2824206,2.325789922,0.620879471,0.086117013,-0.032357096,-0.007958711,-0.022243336,0.009794416481028842
The Cannonball Run,-0.320349722,-0.418807081,0.620879471,-0.27513264,-0.029967384,-0.026543319,-0.033060542,-0.014758605776446183
Thief,-0.320349722,2.325789922,0.620879471,-0.031011714,-0.036908929,-0.03171034,-0.0343707,-0.02519077877363202
Time Bandits,-0.309665462,-0.418807081,-0.210621479,-0.156770979,-0.034604564,0.021459974,-0.032422259,0.009489685048374106
Friday the 13th Part 2,3.623744767,2.325789922,0.620879471,-0.318285329,-0.015600662,0.029127166,-0.017372235,0.057863271463811226
For Your Eyes Only,-0.320349722,-0.418807081,-0.210621479,-0.307188924,-0.034860604,-0.035460597,-0.032455853,-0.02590788953452922
Halloween II,3.623744767,2.325789922,0.620879471,1.875104204,-0.037534806,0.023960145,-0.017439422,0.018941668018581253
Taps,-0.278146896,-0.418807081,0.620879471,-0.155538045,-0.03551493,-0.027793404,-0.031884758,-0.02262925435157314
Reds,-0.332102407,-0.418807081,0.620879471,-0.161702715,-0.040749538,-0.042461077,-0.034538669,-0.029686988335446744
The Fox and the Hound,-0.263723145,-0.127165229,0.620879471,-0.161702715,-0.033523504,-0.005041844,-0.030070693,-0.007815402500766209
Chariots of Fire,-0.332102407,-0.418807081,-0.210621479,-0.114851224,-0.025813837,0.000208516,-0.025636311,0.02203217934985901
Absence of Malice,-0.278146896,-0.418807081,0.620879471,0.086117013,-0.032357096,-0.020876263,-0.026845688,-0.018109844066614995
Tarzan the Ape Man,-0.309665462,0.446360944,0.620879471,-0.36513682,-0.036510644,-0.002208316,-0.027853502,-0.005982801831410758
Victory,-0.278146896,-0.418807081,-0.210621479,-0.307188924,-0.033466606,-0.040044244,-0.036923829,-0.030646441696722954
Arthur,-0.2824206,-0.418807081,0.620879471,0.086117013,-0.036112358,0.064546262,0.006378585,0.037541481296049964
History of the World: Part I,-0.2824206,2.325789922,0.620879471,0.086117013,-0.038985703,-0.039294193,-0.034706638,-0.02090061286886633
The Howling,3.623744767,2.325789922,0.620879471,-0.194991932,-0.02680955,0.100798748,-0.024561309,0.061164400264781926
Dragonslayer,-0.320349722,-0.418807081,-0.210621479,-0.307188924,-0.031332934,-0.042627755,-0.034673044,-0.03228405569852123
Cutter's Way,-0.351868288,2.325789922,0.620879471,0.086117013,-0.041204721,-0.044294536,-0.037494924,-0.033368791374160225
Quest for Fire,-0.309665462,2.325789922,0.10786627,-0.161702715,-0.038075336,-0.035127241,-0.033866793,-0.0274322576436505
The Final Conflict,3.623744767,2.325789922,-0.210621479,-0.333080537,-0.033495055,-0.024793199,-0.032287884,-0.014300654168023659
Mommie Dearest,-0.332102407,2.325789922,0.620879471,-0.307188924,-0.031332934,-0.017376023,-0.026644125,-0.01586423525044993
Private Lessons,-0.2824206,2.325789922,0.620879471,-0.272666772,-0.016141192,0.006708962,-0.007898782,0.014442702906693219
The Postman Always Rings Twice,-0.351868288,2.325789922,-0.58060126,-0.194991932,-0.039924518,-0.037960768,-0.037226173,-0.030939555269990753
Deadly Blessing,3.623744767,2.325789922,0.620879471,-0.333080537,-0.023936206,-0.021542976,-0.025065216,-0.018552387498783584
