index,name,genre,rating,country,score,company,writer,director,hit rate,zscore,robust,minmax
1,Once,-0.278146896,2.325789922,0.781076902,0.336402609,0.35423575,0.566664031,0.208781258,139.5781467,0.721482167,46.80783209,0.0108280791
2,Clerks,-0.2824206,2.325789922,0.620879471,0.146530778,0.127611376,0.100048697,0.01578485,116.7085185,0.597290353,39.03642778,0.00905391755
3,Napoleon Dynamite,-0.2824206,-0.418807081,0.620879471,0.086117013,-0.02220082,0.279227651,0.060834142,115.3472175,0.589897909,38.57383957,0.00894831164
4,In the Company of Men,-0.2824206,2.325789922,0.10786627,-0.114851224,0.03768423,0.188971462,0.011081718,112.17892,0.572692705,37.49720988,0.00870252402
5,Keeping Mum,-0.2824206,2.325789922,-0.210621479,-0.155538045,-0.027520774,0.417403794,0.330021299,109.9812663,0.560758511,36.75041787,0.00853203621
6,Open Water,-0.309665462,2.325789922,0.620879471,-0.196224866,0.268291458,0.862350976,0.158121801,109.366974,0.557422642,36.54167317,0.00848438114
7,The Devil Inside,3.623744767,2.325789922,0.620879471,0.229137354,0.105847926,0.391151994,0.087138091,101.75849,0.516105336,33.95620895,0.00789413632
8,The Quiet Ones,3.623744767,-0.471047245,-0.210621479,-0.255405697,0.005992095,0.694089436,0.260146185,89.17581,0.447776028,29.68044668,0.00691800734
9,Saw,3.623744767,2.325789922,0.620879471,0.126803834,0.203484739,0.194055144,0.045112242,86.5930575,0.433750583,28.80279297,0.00671764465
10,Searching,-0.278146896,-0.471047245,0.620879471,0.126803834,-0.029199262,0.665504142,0.24862351,85.75231477,0.429184992,28.51709739,0.00665242219
11,Primer,-0.278146896,-0.471047245,0.620879471,0.086117013,0.178819495,0.324480755,0.111157662,77.91942857,0.386649087,25.85537832,0.00604476887
12,E.T. the Extra-Terrestrial,0.651917916,-0.418807081,0.620879471,0.336402609,-0.031019995,0.165053155,-0.010855037,75.51529086,0.373593596,25.0384203,0.00585826262
13,My Big Fat Greek Wedding,-0.2824206,-0.418807081,0.10786627,-0.194991932,0.004342055,0.279227651,0.087574811,73.7488088,0.364000847,24.43814617,0.0057212239
14,The Full Monty,-0.2824206,2.325789922,-0.210621479,-0.114851224,0.166814036,0.172386991,0.08535762,73.69675686,0.363718182,24.42045822,0.00571718586
15,Friday the 13th,3.623744767,2.325789922,0.620879471,-0.245542225,-0.031332934,0.141134848,0.08367793,72.28109273,0.356030524,23.9393967,0.00560736261
16,Fireproof,-0.278146896,-0.418807081,0.620879471,1.875104204,0.027698647,0.193721787,0.058448982,66.946594,0.327061925,22.12666297,0.00519352718
