name,genre,rating,country,score,company,writer,director,hit rate,zscore,robust,minmax,tier
Trojan War,-0.2824206,-0.471047245,0.620879471,-0.196224866,-0.042854761,-0.046961385,-0.038502738,2.06E-05,-0.0365423591,-0.623844219,0,5
Ginger Snaps,-0.278146896,-0.558023904,0.10786627,-0.155538045,-0.042854761,-0.049128201,-0.039443364,0.0005108,-0.0365396961,-0.623677687,3.80E-08,5
Philadelphia Experiment II,-0.320349722,-0.471047245,0.620879471,-0.328148801,-0.035287339,-0.049128201,-0.039443364,0.000594,-0.0365392441,-0.623649422,4.45E-08,5
The Lovers on the Bridge,-0.278146896,2.325789922,-0.294534419,0.126803834,-0.042854761,-0.049128201,-0.039443364,0.001059964,-0.0365367128,-0.623491124,8.06E-08,5
Savior,-0.278146896,2.325789922,0.620879471,-0.161702715,-0.041944394,-0.049128201,-0.039443364,0.0014328,-0.0365346874,-0.623364463,1.10E-07,5
Tanner Hall,-0.278146896,2.325789922,0.620879471,-0.310887725,-0.042854761,-0.049128201,-0.039443364,0.001691,-0.0365332847,-0.623276746,1.30E-07,5
Crimewave,-0.2824206,-0.471047245,0.620879471,-0.196224866,-0.032357096,-0.021292958,-0.029969912,0.001700333,-0.036533234,-0.623273575,1.30E-07,5
Deadfall,-0.351868288,2.325789922,0.620879471,-0.418152981,-0.035287339,-0.049128201,-0.039443364,0.0018369,-0.0365324922,-0.623227181,1.41E-07,5
Hell's Kitchen,-0.351868288,2.325789922,0.620879471,-0.282530244,-0.042854761,-0.049128201,-0.039443364,0.001951667,-0.0365318687,-0.623188192,1.50E-07,5
Barefoot,-0.2824206,-0.471047245,0.620879471,-0.194991932,-0.042854761,-0.049128201,-0.035647265,0.002511833,-0.0365288256,-0.62299789,1.93E-07,5
Freaked,-0.2824206,-0.471047245,0.620879471,-0.245542225,-0.042854761,-0.049128201,-0.039443364,0.002663273,-0.036528003,-0.622946443,2.05E-07,5
Parasite,3.623744767,2.325789922,0.620879471,-0.463771538,-0.02680955,-0.049128201,-0.039443364,0.0028375,-0.0365270565,-0.622887254,2.19E-07,5
Passion Play,-0.278146896,2.325789922,0.620879471,-0.240610489,-0.042854761,-0.043211128,-0.039443364,0.003200375,-0.0365250852,-0.622763977,2.47E-07,5
About Cherry,-0.278146896,2.325789922,0.620879471,-0.35897215,-0.042854761,-0.049128201,-0.039443364,0.003326,-0.0365244027,-0.622721299,2.56E-07,5
Rock & Rule,-0.263723145,-0.418807081,0.10786627,1.875104204,-0.026525061,-0.049128201,-0.039443364,0.003797375,-0.036521842,-0.622561162,2.93E-07,5
Best Laid Plans,-0.351868288,2.325789922,0.620879471,-0.318285329,-0.04123317,-0.045127926,-0.039443364,0.003973714,-0.0365208841,-0.622501256,3.07E-07,5
Brenda Starr,-0.309665462,-0.418807081,0.620879471,-0.35897215,-0.042854761,-0.049128201,-0.039443364,0.004242375,-0.0365194246,-0.622409986,3.28E-07,5
O.C. and Stiggs,-0.2824206,2.325789922,0.620879471,-0.360205084,-0.036510644,-0.049128201,-0.035210545,0.004259286,-0.0365193327,-0.622404241,3.29E-07,5
My Summer Story,-0.2824206,-0.418807081,0.620879471,-0.333080537,-0.036510644,-0.023043078,-0.013979261,0.004729067,-0.0365167807,-0.622244645,3.65E-07,5
The Boondock Saints,-0.320349722,2.325789922,0.620879471,0.336402609,-0.041062477,-0.043544484,-0.03719258,0.0050785,-0.0365148824,-0.622125935,3.92E-07,5
Vamps,-0.2824206,-0.471047245,0.620879471,-0.272666772,-0.042826312,0.045128263,-0.009108159,0.00579675,-0.0365109806,-0.621881929,4.48E-07,5
Love Ranch,-0.332102407,2.325789922,-0.410868268,-0.333080537,-0.042826312,-0.049044862,-0.029398817,0.00584596,-0.0365107133,-0.621865211,4.52E-07,5
Arizona Dream,-0.2824206,2.325789922,-0.294534419,-0.161702715,-0.037392561,-0.049044862,-0.039409771,0.005923526,-0.0365102919,-0.62183886,4.58E-07,5
The Irishman,-0.332102407,2.325789922,0.620879471,0.336402609,-0.042428026,-0.036377326,-0.033060542,0.006093415,-0.036509369,-0.621781145,4.71E-07,5
